polar bear gene ID	BK_SAMN01057691	BK_SRR7813602	BB_SRR7758718	BB_SAMN02256313	BB_SAMN02256315	BB_SAMN02256316	BB_SAMN02256317	BB_SAMN02256318	BB_SAMN02256319	BB_SAMN02256320	BB_SAMN02256321	BB_SAMN02256322	PB_SAMN02261811	PB_SAMN02261819	PB_SAMN02261821	PB_SAMN02261826	PB_SAMN02261840	PB_SAMN02261845	PB_SAMN02261851	PB_SAMN02261853	PB_SAMN02261854	PB_SAMN02261856	PB_SAMN02261858	PB_SAMN02261865	PB_SAMN02261868	PB_SAMN02261870	PB_SAMN02261871	PB_SAMN02261878	PB_SAMN02261880
Uma_R019291	3	4	4	4	3	4	4	4	5	4	4	5	4	4	4	4	4	4	4	4	4	4	5	5	5	4	4	4	4
Uma_R019292	1	0	2	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019293	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	0
Uma_R019294	3	3	3	2	1	1	2	1	2	1	2	1	2	1	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2
Uma_R019295	2	2	2	1	1	1	2	2	1	2	1	1	1	1	1	2	2	2	2	1	1	1	2	2	1	1	1	2	1
Uma_R019297	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0
Uma_R019298	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1
Uma_R019299	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0
Uma_R019300	1	1	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019301	2	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1
Uma_R019302	0	1	2	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019303	1	1	2	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Uma_R019304	0	1	2	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019305	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019306	7	5	2	2	2	2	2	2	2	2	2	3	14	11	11	11	10	10	10	9	10	11	12	10	12	10	11	12	8
Uma_R019307	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1
Uma_R019308	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	2	2	1	1	1	1	2	1
Uma_R019309	0	0	2	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
Uma_R019310	6	6	2	2	3	2	2	2	2	2	3	3	13	10	9	10	11	11	11	9	11	11	14	10	12	9	11	12	9
Uma_R019311	3	3	3	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1	3	2	2	2	2	2	2	2
Uma_R019312	1	1	2	2	1	1	1	2	2	1	2	2	1	1	2	1	1	2	2	1	1	1	1	1	1	2	1	1	1
Uma_R019313	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
Uma_R019314	3	3	16	9	16	8	8	12	18	8	11	8	8	14	7	17	8	9	11	6	11	13	10	11	7	10	10	12	9
Uma_R019315	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1
Uma_R019316	3	2	4	2	2	3	3	3	2	2	2	3	2	2	2	2	3	2	2	2	1	3	2	2	2	2	2	2	2
Uma_R019317	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Uma_R019318	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019319	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1
Uma_R019320	0	2	4	1	2	1	2	1	2	2	2	1	1	0	0	1	1	1	2	1	3	2	2	2	2	1	2	2	1
Uma_R019321	10	7	9	3	8	10	4	11	10	8	14	10	10	11	14	9	13	10	15	15	9	10	11	11	13	15	12	10	10
Uma_R019322	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1
Uma_R019323	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1
Uma_R019324	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1
Uma_R019325	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019326	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019327	9	9	8	9	8	10	10	9	8	10	9	10	4	5	4	4	5	4	4	4	4	5	4	4	5	3	4	5	4
Uma_R019329	7	7	8	8	10	10	9	9	9	9	11	10	4	5	5	4	4	5	4	4	4	5	5	6	4	3	5	5	5
Uma_R019330	0	2	4	1	2	1	1	1	2	2	1	1	1	1	0	1	1	1	2	2	3	1	2	1	1	2	2	2	2
Uma_R019331	1	0	0	0	0	0	0	0	1	1	1	0	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1
Uma_R019332	2	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	3	2	2	2	2	2
Uma_R019333	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019334	2	4	3	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019335	2	3	14	8	14	7	6	10	14	6	10	5	7	12	5	12	6	7	10	4	10	10	9	10	7	8	8	11	8
Uma_R019336	1	2	2	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	3	2	2	2	2	2	2	2
Uma_R019337	1	3	2	3	2	3	2	3	3	2	2	3	2	3	3	2	3	3	3	2	2	3	2	3	3	2	2	3	2
Uma_R019339	10	8	9	6	9	12	6	15	14	11	17	15	15	15	18	15	15	13	16	16	12	14	14	14	17	18	14	14	13
Uma_R019340	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	0
Uma_R019341	5	4	3	4	4	4	4	4	4	4	4	3	4	4	3	4	4	4	3	3	4	4	3	5	4	3	4	5	4
Uma_R019342	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019345	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	2	0	1	1	1	1	1
Uma_R019346	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2
Uma_R019347	1	4	4	3	5	3	3	3	4	5	4	3	3	2	1	3	3	3	4	4	5	4	4	4	3	3	4	5	4
Uma_R019349	3	2	2	6	5	2	2	3	3	2	3	2	4	5	3	2	5	5	3	3	4	5	6	5	4	4	6	4	4
Uma_R019350	4	5	3	3	3	2	3	3	2	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Uma_R019351	1	1	2	1	2	2	1	2	1	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1
Uma_R019352	4	3	2	6	6	3	6	3	3	7	7	3	7	6	7	7	3	6	6	3	3	3	6	6	3	3	3	7	7
Uma_R019353	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	1	2	2
Uma_R019354	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
Uma_R019355	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1
Uma_R019356	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	2	1
Uma_R019358	5	5	2	2	1	1	3	0	0	0	1	0	2	1	0	0	1	2	3	1	1	1	1	1	1	1	0	1	1
Uma_R019359	177	116	77	22	24	20	17	19	23	25	25	20	27	26	19	21	31	33	32	28	24	32	33	32	26	33	31	34	36
Uma_R019361	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019363	1	2	2	1	2	1	2	1	2	2	2	1	1	1	1	1	1	2	2	2	3	2	2	2	2	2	2	2	2
Uma_R019364	1	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2
Uma_R019365	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	3	2	2
Uma_R019366	1	1	2	1	2	1	2	1	2	2	2	1	1	1	1	2	1	2	2	2	3	2	2	2	2	2	2	2	2
Uma_R019367	1	2	2	1	2	1	2	1	2	2	2	1	1	1	1	2	1	1	2	2	3	2	2	2	2	2	2	2	2
Uma_R019368	1	2	3	2	2	1	2	1	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Uma_R019369	1	2	1	1	2	1	1	1	2	2	2	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	2	2	2
Uma_R019370	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	2	2	2	2	1	2	2	2	2
Uma_R019371	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
